Region,Año,Brecha Salarial,Ingreso mediano mensual Total,Ingreso mediano mensual Hombres ,Ingreso mediano mensual Mujeres,"Brecha de género",Año postulación,Estamento,Número total de postulantes,Número total de postulantes de mujeres ,Número total de postulantes de hombres,Distribución porcentual de postulantes de mujeres,Distribución porcentual de postulantes de hombres,"Brecha de género"
Arica y Parinacota,2018,-28.0,350.0,400.0,299.802,"-25,0 ",2018,Directiva,7.181,2.808,4.373,"39,1","60,9","-21,8"
Arica y Parinacota,2018,-28.0,350.0,400.0,299.802,"-25,0 ",2018,Profesionales,75.313,40.697,34.616,"54,0","46,0","8,1"
Arica y Parinacota,2018,-28.0,350.0,400.0,299.802,"-25,0 ",2018,Profesional Ley N°15.076/19.664,0.0,0.0,0.0,"0,0","0,0","0,0"
Arica y Parinacota,2018,-28.0,350.0,400.0,299.802,"-25,0 ",2018,Fiscalizadores,6.658,2.706,3.952,"40,6","59,4","-18,7"
Arica y Parinacota,2018,-28.0,350.0,400.0,299.802,"-25,0 ",2018,Técnicos,17.948,10.244,7.704,"57,1","42,9","14,2"
Arica y Parinacota,2018,-28.0,350.0,400.0,299.802,"-25,0 ",2018,Administrativos,25.779,15.822,9.957,"61,4","38,6","22,8"
Arica y Parinacota,2018,-28.0,350.0,400.0,299.802,"-25,0 ",2018,Auxiliares,4.379,1.752,2.627,"40,0","60,0","-20,0"
Arica y Parinacota,2018,-28.0,350.0,400.0,299.802,"-25,0 ",2018,Otros,383.0,198.0,185.0,"51,7","48,3","3,4"
Tarapacá,2018,-25.4,400.0,401.444,349.22,"-13,0 ",2018,Directiva,7.181,2.808,4.373,"39,1","60,9","-21,8"
Tarapacá,2018,-25.4,400.0,401.444,349.22,"-13,0 ",2018,Profesionales,75.313,40.697,34.616,"54,0","46,0","8,1"
Tarapacá,2018,-25.4,400.0,401.444,349.22,"-13,0 ",2018,Profesional Ley N°15.076/19.664,0.0,0.0,0.0,"0,0","0,0","0,0"
Tarapacá,2018,-25.4,400.0,401.444,349.22,"-13,0 ",2018,Fiscalizadores,6.658,2.706,3.952,"40,6","59,4","-18,7"
Tarapacá,2018,-25.4,400.0,401.444,349.22,"-13,0 ",2018,Técnicos,17.948,10.244,7.704,"57,1","42,9","14,2"
Tarapacá,2018,-25.4,400.0,401.444,349.22,"-13,0 ",2018,Administrativos,25.779,15.822,9.957,"61,4","38,6","22,8"
Tarapacá,2018,-25.4,400.0,401.444,349.22,"-13,0 ",2018,Auxiliares,4.379,1.752,2.627,"40,0","60,0","-20,0"
Tarapacá,2018,-25.4,400.0,401.444,349.22,"-13,0 ",2018,Otros,383.0,198.0,185.0,"51,7","48,3","3,4"
Antofagasta,2018,-40.0,500.0,650.899,351.263,"-46,0 ",2018,Directiva,7.181,2.808,4.373,"39,1","60,9","-21,8"
Antofagasta,2018,-40.0,500.0,650.899,351.263,"-46,0 ",2018,Profesionales,75.313,40.697,34.616,"54,0","46,0","8,1"
Antofagasta,2018,-40.0,500.0,650.899,351.263,"-46,0 ",2018,Profesional Ley N°15.076/19.664,0.0,0.0,0.0,"0,0","0,0","0,0"
Antofagasta,2018,-40.0,500.0,650.899,351.263,"-46,0 ",2018,Fiscalizadores,6.658,2.706,3.952,"40,6","59,4","-18,7"
Antofagasta,2018,-40.0,500.0,650.899,351.263,"-46,0 ",2018,Técnicos,17.948,10.244,7.704,"57,1","42,9","14,2"
Antofagasta,2018,-40.0,500.0,650.899,351.263,"-46,0 ",2018,Administrativos,25.779,15.822,9.957,"61,4","38,6","22,8"
Antofagasta,2018,-40.0,500.0,650.899,351.263,"-46,0 ",2018,Auxiliares,4.379,1.752,2.627,"40,0","60,0","-20,0"
Antofagasta,2018,-40.0,500.0,650.899,351.263,"-46,0 ",2018,Otros,383.0,198.0,185.0,"51,7","48,3","3,4"
Atacama,2018,-37.7,415.927,505.584,323.89,"-35,9 ",2018,Directiva,7.181,2.808,4.373,"39,1","60,9","-21,8"
Atacama,2018,-37.7,415.927,505.584,323.89,"-35,9 ",2018,Profesionales,75.313,40.697,34.616,"54,0","46,0","8,1"
Atacama,2018,-37.7,415.927,505.584,323.89,"-35,9 ",2018,Profesional Ley N°15.076/19.664,0.0,0.0,0.0,"0,0","0,0","0,0"
Atacama,2018,-37.7,415.927,505.584,323.89,"-35,9 ",2018,Fiscalizadores,6.658,2.706,3.952,"40,6","59,4","-18,7"
Atacama,2018,-37.7,415.927,505.584,323.89,"-35,9 ",2018,Técnicos,17.948,10.244,7.704,"57,1","42,9","14,2"
Atacama,2018,-37.7,415.927,505.584,323.89,"-35,9 ",2018,Administrativos,25.779,15.822,9.957,"61,4","38,6","22,8"
Atacama,2018,-37.7,415.927,505.584,323.89,"-35,9 ",2018,Auxiliares,4.379,1.752,2.627,"40,0","60,0","-20,0"
Atacama,2018,-37.7,415.927,505.584,323.89,"-35,9 ",2018,Otros,383.0,198.0,185.0,"51,7","48,3","3,4"
